R.J. Hunter,2016,BOS,36,0,8.7,1.00,2.72,.367,0.53,1.75,.302,0.17,0.19,.857,0.06,0.97,1.03,0.36,0.39,0.11,0.81,0.31,2.69,7.68
Damien Inglis,2016,MIL,20,1,7.8,0.65,1.85,.351,0.15,0.65,.231,0.35,0.40,.875,0.10,1.45,1.55,0.50,0.30,0.15,0.55,0.55,1.80,6.73
Stanley Johnson,2016,DET,73,6,23.1,3.08,8.22,.375,0.86,2.81,.307,1.10,1.40,.784,0.79,3.40,4.19,1.62,0.75,0.16,2.44,1.56,8.12,8.68
Nikola Jokic,2016,DEN,80,55,21.7,3.84,7.50,.512,0.35,1.05,.333,1.93,2.38,.811,2.26,4.74,7.00,2.36,0.99,0.62,2.60,1.30,9.95,21.53
Tyus Jones,2016,MIN,37,0,15.5,1.51,4.22,.359,0.43,1.43,.302,0.76,1.05,.718,0.19,1.08,1.27,2.92,0.84,0.08,0.89,0.89,4.22,11.03
Frank Kaminsky,2016,CHA,81,3,21.1,2.65,6.48,.410,0.84,2.49,.337,1.33,1.83,.730,0.85,3.28,4.14,1.21,0.47,0.53,1.56,0.73,7.48,12.39
Sasha Kaun,2016,CLE,25,0,3.8,0.36,0.68,.529,0.00,0.00,.000,0.20,0.44,.455,0.48,0.56,1.04,0.12,0.16,0.20,0.44,0.28,0.92,12.53
Kevon Looney,2016,GOS,5,0,4.1,0.80,1.40,.571,0.20,0.40,.500,0.00,0.00,.000,0.80,1.20,2.00,0.00,0.00,0.00,0.40,0.20,1.80,17.92
Trey Lyles,2016,UTH,80,33,17.3,2.39,5.45,.438,0.61,1.60,.383,0.71,1.02,.695,0.74,3.00,3.74,0.74,0.33,0.23,1.43,0.81,6.10,11.62
Boban Marjanovic,2016,SAN,54,4,9.4,1.94,3.22,.603,0.00,0.00,.000,1.61,2.11,.763,1.35,2.24,3.59,0.39,0.22,0.43,1.00,0.54,5.50,27.56
Jarell Martin,2016,MEM,27,0,14.1,2.00,4.30,.466,0.00,0.07,.000,1.67,2.30,.726,1.44,1.74,3.19,0.56,0.30,0.26,2.15,0.70,5.67,14.11
T.J. McConnell,2016,PHL,81,17,19.8,2.69,5.73,.470,0.38,1.10,.348,0.32,0.51,.634,0.53,2.56,3.09,4.53,1.17,0.12,1.41,1.73,6.09,14.46
Chris McCullough,2016,BRK,24,4,15.1,1.83,4.54,.404,0.54,1.42,.382,0.46,0.96,.478,1.04,1.79,2.83,0.38,1.17,0.50,1.62,0.62,4.67,11.87
